Date,Open,High,Low,Close,Adj Close,Volume
2016-10-28,2100.000000,5000.000000,2100.000000,5000.000000,5000.000000,414
2016-10-29,12001.000000,30000.000000,4000.000000,4000.000000,4000.000000,46066
2016-10-30,4000.000000,4000.000000,475.000000,650.000000,650.000000,21969
2016-10-31,650.000000,3000.000000,475.000000,1600.000000,1600.000000,107279
2016-11-01,1600.000000,2175.000000,1200.000000,1550.000000,1550.000000,120784
2016-11-02,1550.000000,1550.000000,840.000000,907.270020,907.270020,138837
2016-11-03,907.270020,1099.989990,835.000000,835.010010,835.010010,173449
2016-11-04,835.010010,900.000000,547.500000,600.000000,600.000000,93866
2016-11-05,600.000000,624.340027,501.010010,507.000000,507.000000,56278
2016-11-06,507.000000,515.989990,275.000000,309.109985,309.109985,68468
2016-11-07,309.109985,334.820007,229.029999,240.000000,240.000000,40022
2016-11-08,240.000000,275.000000,166.789993,275.000000,275.000000,43498
2016-11-09,275.000000,400.000000,210.050003,267.000000,267.000000,137135
2016-11-10,267.000000,278.880005,210.050003,212.089996,212.089996,61951
2016-11-11,212.089996,229.929993,179.009995,181.229996,181.229996,37424
2016-11-12,181.229996,198.979996,139.000000,140.949997,140.949997,18407
2016-11-13,140.949997,162.520004,110.000000,120.000000,120.000000,30734
2016-11-14,120.000000,120.000000,89.239998,105.099998,105.099998,43891
2016-11-15,105.099998,134.979996,90.059998,113.900002,113.900002,29431
2016-11-16,113.900002,118.000000,93.500000,93.559998,93.559998,56183
2016-11-17,93.559998,98.980003,84.470001,84.470001,84.470001,18263
2016-11-18,84.470001,86.199997,68.070000,68.070000,68.070000,29325
2016-11-19,68.070000,70.919998,62.860001,62.919998,62.919998,19896
2016-11-20,62.919998,74.750000,60.660000,60.660000,60.660000,13164
2016-11-21,60.660000,60.660000,55.000000,55.009998,55.009998,11275
2016-11-22,55.009998,73.419998,55.000000,59.590000,59.590000,44360
2016-11-23,59.590000,99.720001,56.189999,81.190002,81.190002,85081
2016-11-24,81.190002,105.459999,69.849998,100.000000,100.000000,139021
2016-11-25,100.000000,123.000000,83.790001,90.540001,90.540001,97749
2016-11-26,90.540001,94.000000,75.000000,75.000000,75.000000,57459
2016-11-27,75.000000,77.949997,66.099998,73.650002,73.650002,47088
2016-11-28,73.650002,74.110001,65.050003,74.110001,74.110001,28834
2016-11-29,74.110001,77.370003,65.000000,68.000000,68.000000,35721
2016-11-30,68.000000,73.300003,65.000000,67.209999,67.209999,34156
2016-12-01,67.209999,68.589996,62.160000,63.000000,63.000000,38059
2016-12-02,63.000000,65.139999,60.000000,60.000000,60.000000,68543
2016-12-03,60.000000,67.199997,57.410000,58.000000,58.000000,28148
2016-12-04,58.000000,62.310001,57.380001,57.849998,57.849998,59607
2016-12-05,57.849998,57.849998,50.000000,50.000000,50.000000,85767
2016-12-06,50.000000,52.000000,46.740002,49.250000,49.250000,90182
2016-12-07,49.250000,62.360001,46.080002,55.900002,55.900002,59735
2016-12-08,55.900002,56.930000,52.209999,53.990002,53.990002,21686
2016-12-09,53.990002,53.990002,49.480000,49.480000,49.480000,18624
2016-12-10,49.480000,52.529999,47.439999,47.860001,47.860001,12764
2016-12-11,47.860001,50.650002,47.139999,48.950001,48.950001,10951
2016-12-12,48.950001,50.490002,47.790001,48.389999,48.389999,10672
2016-12-13,48.389999,49.700001,46.689999,46.689999,46.689999,11753
2016-12-14,46.689999,46.689999,42.549999,44.000000,44.000000,22041
2016-12-15,44.000000,44.000000,39.439999,39.450001,39.450001,10924
2016-12-16,39.450001,42.180000,39.450001,39.650002,39.650002,7951
2016-12-17,39.650002,40.470001,35.680000,35.900002,35.900002,19615
2016-12-18,35.900002,41.349998,35.000000,36.060001,36.060001,19562
2016-12-19,36.060001,36.889999,33.439999,34.180000,34.180000,13972
2016-12-20,34.180000,39.990002,33.889999,36.830002,36.830002,43834
2016-12-21,36.830002,38.939999,35.200001,35.439999,35.439999,23344
2016-12-22,35.439999,48.990002,35.439999,48.990002,48.990002,74361
2016-12-23,48.990002,62.820000,45.250000,53.549999,53.549999,149374
